"Genre" "name"
"Myrcia_magnoliifolia" "Myrcia" "Myrcia_magnoliifolia"
"Naucleopsis_guianensis" "Naucleopsis" "Naucleopsis_guianensis"
"Heisteria_densifrons" "Heisteria" "Heisteria_densifrons"
"Guatteria_guianensis" "Guatteria" "Guatteria_guianensis"
"Endlicheria_melinonii" "Endlicheria" "Endlicheria_melinonii"
"Licaria_guianensis" "Licaria" "Licaria_guianensis"
"Lacunaria_crenata" "Lacunaria" "Lacunaria_crenata"
"Sloanea_sp.8CAY-ATDN" "Sloanea" "Sloanea_sp.8CAY-ATDN"
"Ocotea_puberula" "Ocotea" "Ocotea_puberula"
"Tabernaemontana_attenuata" "Tabernaemontana" "Tabernaemontana_attenuata"
"Xylopia_frutescens" "Xylopia" "Xylopia_frutescens"
"Macoubea_guianensis" "Macoubea" "Macoubea_guianensis"
"Sloanea_sp.20CAY-ATDN" "Sloanea" "Sloanea_sp.20CAY-ATDN"
"Sloanea_parviflora" "Sloanea" "Sloanea_parviflora"
"Chrysophyllum_sp.3CAY-ATDN" "Chrysophyllum" "Chrysophyllum_sp.3CAY-ATDN"
"Hevea_guianensis" "Hevea" "Hevea_guianensis"
"Schefflera_decaphylla" "Schefflera" "Schefflera_decaphylla"
"Aspidosperma_oblongum" "Aspidosperma" "Aspidosperma_oblongum"
"Miconia_tschudyoides" "Miconia" "Miconia_tschudyoides"
"Annona_foetida" "Annona" "Annona_foetida"
"Pouteria_melanopoda" "Pouteria" "Pouteria_melanopoda"
"Pouteria_bilocularis" "Pouteria" "Pouteria_bilocularis"
"Peltogyne_venosa" "Peltogyne" "Peltogyne_venosa"
"Parinari_rodolphii" "Parinari" "Parinari_rodolphii"
"Sloanea_sp.14CAY-ATDN" "Sloanea" "Sloanea_sp.14CAY-ATDN"
"Sloanea_guianensis" "Sloanea" "Sloanea_guianensis"
"Ocotea_nigra" "Ocotea" "Ocotea_nigra"
"Eugenia_tetramera" "Eugenia" "Eugenia_tetramera"
"Rhodostemonodaphne_rufovirgata" "Rhodostemonodaphne" "Rhodostemonodaphne_rufovirgata"
"Couratari_oblongifolia" "Couratari" "Couratari_oblongifolia"
"Licania_granvillei" "Licania" "Licania_granvillei"
"Miconia_poeppigii" "Miconia" "Miconia_poeppigii"
"Licania_latistipula" "Licania" "Licania_latistipula"
"Inga_jenmanii" "Inga" "Inga_jenmanii"
"Tapirira_obtusa" "Tapirira" "Tapirira_obtusa"
"Henriettella_flavescens" "Henriettella" "Henriettella_flavescens"
"Tetragastris_hostmannii" "Tetragastris" "Tetragastris_hostmannii"
"Hirtella_Indet." "Hirtella" "Hirtella_Indet."
"Humiriastrum_subcrenatum" "Humiriastrum" "Humiriastrum_subcrenatum"
"Chrysophyllum_Indet." "Chrysophyllum" "Chrysophyllum_Indet."
"Brosimum_utile" "Brosimum" "Brosimum_utile"
"Moronobea_coccinea" "Moronobea" "Moronobea_coccinea"
"Sterculia_Indet." "Sterculia" "Sterculia_Indet."
"Loreya_arborescens" "Loreya" "Loreya_arborescens"
"Theobroma_Indet." "Theobroma" "Theobroma_Indet."
"Ormosia_Indet." "Ormosia" "Ormosia_Indet."
"Luehea_speciosa" "Luehea" "Luehea_speciosa"
"Couepia_parillo" "Couepia" "Couepia_parillo"
"Simaba_Indet." "Simaba" "Simaba_Indet."
"Cecropia_Indet." "Cecropia" "Cecropia_Indet."
"Vismia_Indet." "Vismia" "Vismia_Indet."
"Cecropia_sciadophylla" "Cecropia" "Cecropia_sciadophylla"
"Apeiba_Indet." "Apeiba" "Apeiba_Indet."
"Byrsonima_Indet." "Byrsonima" "Byrsonima_Indet."
"Miconia_minutiflora" "Miconia" "Miconia_minutiflora"
"Dipteryx_Indet." "Dipteryx" "Dipteryx_Indet."
"Andira_Indet." "Andira" "Andira_Indet."
"Eugenia_coffeifolia" "Eugenia" "Eugenia_coffeifolia"
"Abarema_Indet." "Abarema" "Abarema_Indet."
"Diospyros_Indet." "Diospyros" "Diospyros_Indet."
"Eschweilera_decolorans" "Eschweilera" "Eschweilera_decolorans"
"Lecythis_Indet." "Lecythis" "Lecythis_Indet."
"Eperua_falcata" "Eperua" "Eperua_falcata"
"Virola_surinamensis" "Virola" "Virola_surinamensis"
"Vismia_sessilifolia" "Vismia" "Vismia_sessilifolia"
"Couepia_obovata" "Couepia" "Couepia_obovata"
"Alchorneopsis_floribunda" "Alchorneopsis" "Alchorneopsis_floribunda"
"Melicoccus_pedicellaris" "Melicoccus" "Melicoccus_pedicellaris"
"Ouratea_decagyna" "Ouratea" "Ouratea_decagyna"
